Date,JPY to USD,USD TO AUD,USD to EUR,USD to GBP
1994-04-11,105.085,0.723,1.1299,1.4776
1994-04-12,103.2,0.7203,1.1308,1.471
1994-04-13,103.9,0.7205,1.1291,1.476
1994-04-14,103.335,0.7213,1.1326,1.4761
1994-04-15,104.15,0.7218,1.1314,1.4762
1994-04-16,103.445,0.7239,1.1285,1.472
1994-04-18,103.25,0.7236,1.1285,1.4704
1994-04-19,103.075,0.7176,1.1326,1.4755
1994-04-20,103.3,0.7161,1.1363,1.48
1994-04-21,102.825,0.7112,1.145,1.493
1994-04-22,103.675,0.7166,1.1436,1.4925
1994-04-23,103.24,0.719,1.1445,1.4895
1994-04-25,102.85,0.718,1.1445,1.4885
1994-04-26,103.175,0.7182,1.1495,1.491
1994-04-27,102.675,0.7172,1.153,1.5065
1994-04-28,102.45,0.7159,1.1563,1.504
1994-04-29,101.295,0.7113,1.1622,1.514
1994-04-30,101.6,0.7154,1.1679,1.519
1994-05-02,101.75,0.7178,1.1679,1.516
1994-05-03,101.665,0.7113,1.1719,1.515
1994-05-04,100.905,0.7035,1.176,1.5131
1994-05-06,103.0,0.717,1.1555,1.497
1994-05-07,102.465,0.7166,1.1578,1.493
1994-05-09,102.65,0.7149,1.1578,1.4907
1994-05-10,102.85,0.7208,1.164,1.497
1994-05-11,104.35,0.7231,1.1523,1.489
1994-05-12,104.15,0.7178,1.1551,1.494
1994-05-13,104.125,0.7183,1.156,1.5001
1994-05-14,105.035,0.7231,1.1545,1.499
1994-05-16,105.125,0.722,1.1545,1.4982
1994-05-17,104.72,0.7274,1.1525,1.5035
1994-05-19,103.55,0.7276,1.1645,1.5085
1994-05-20,104.325,0.728,1.163,1.5089
1994-05-21,104.15,0.7295,1.1699,1.505
1994-05-23,104.05,0.7287,1.1699,1.5055
1994-05-24,104.525,0.7347,1.1705,1.506
1994-05-25,104.775,0.7341,1.1649,1.5055
1994-05-26,104.35,0.7337,1.171,1.5095
1994-05-27,104.555,0.7321,1.168,1.509
1994-05-28,104.275,0.7336,1.1717,1.5102
1994-05-30,104.4,0.7335,1.1717,1.51
1994-05-31,104.47,0.7356,1.1718,1.51
1994-06-01,104.75,0.7372,1.171,1.511
1994-06-02,104.45,0.7384,1.17,1.5165
1994-06-03,105.05,0.7383,1.1657,1.5093
1994-06-04,105.385,0.7377,1.1551,1.5055
1994-06-07,105.255,0.7339,1.155,1.507
1994-06-08,104.35,0.7344,1.158,1.509
1994-06-09,104.025,0.7331,1.1572,1.5105
1994-06-10,104.015,0.7347,1.1573,1.5095
1994-06-11,103.525,0.7345,1.1589,1.509
1994-06-13,103.58,0.7365,1.1589,1.509
1994-06-14,103.05,0.7358,1.172,1.5215
1994-06-15,103.05,0.7303,1.1713,1.5175
1994-06-16,102.775,0.731,1.1768,1.5213
1994-06-17,103.355,0.7318,1.1762,1.5205
1994-06-18,102.685,0.7347,1.1927,1.5345
1994-06-20,102.65,0.7363,1.1927,1.533
1994-06-21,101.995,0.7383,1.1997,1.5375
1994-06-22,100.325,0.7457,1.204,1.5425
1994-06-23,101.575,0.7364,1.1957,1.529
1994-06-24,101.05,0.7308,1.1963,1.5417
1994-06-25,100.525,0.728,1.2097,1.5525
1994-06-27,100.05,0.722,1.2097,1.5545
1994-06-28,100.4,0.7247,1.2095,1.5415
1994-06-29,99.7,0.7224,1.2135,1.5525
1994-06-30,98.8,0.7293,1.206,1.5445
1994-07-01,98.45,0.7268,1.2047,1.5432
1994-07-02,98.65,0.7303,1.1983,1.5385
1994-07-04,98.465,0.7314,1.1983,1.5355
1994-07-05,99.1,0.7295,1.1995,1.539
1994-07-06,98.825,0.724,1.2105,1.5443
1994-07-07,99.05,0.7317,1.2197,1.5443
1994-07-08,98.55,0.727,1.2158,1.5405
1994-07-09,98.055,0.7325,1.2106,1.5495
1994-07-11,98.23,0.7326,1.2106,1.556
1994-07-12,97.35,0.7355,1.247,1.5725
1994-07-13,97.45,0.7366,1.2485,1.567
1994-07-14,98.2,0.7336,1.2407,1.5625
1994-07-15,98.35,0.7368,1.2311,1.5605
1994-07-16,97.815,0.7333,1.2286,1.5618
1994-07-18,97.725,0.7318,1.2286,1.563
1994-07-19,98.5,0.7303,1.2325,1.5617
1994-07-20,99.025,0.7358,1.2179,1.5485
1994-07-21,98.65,0.7371,1.2217,1.5455
1994-07-22,99.15,0.7376,1.2011,1.5245
1994-07-23,98.95,0.7438,1.1973,1.5276
1994-07-25,98.6,0.7432,1.1973,1.5315
1994-07-26,98.625,0.7443,1.204,1.5305
1994-07-27,98.15,0.7421,1.207,1.5255
1994-07-28,98.525,0.7388,1.2132,1.5325
1994-07-29,99.75,0.7387,1.2017,1.5275
1994-07-30,99.95,0.7398,1.2086,1.543
1994-08-01,98.385,0.7368,1.2086,1.548
1994-08-02,99.3,0.7375,1.2107,1.536
1994-08-03,100.265,0.7316,1.2092,1.5355
1994-08-04,99.985,0.729,1.204,1.5425
1994-08-05,100.515,0.7373,1.2032,1.537
1994-08-06,100.2,0.7433,1.2093,1.5415
1994-08-08,100.2,0.7422,1.2093,1.5435
1994-08-09,101.45,0.7402,1.2079,1.5405
1994-08-10,101.2,0.7417,1.2083,1.54
1994-08-11,101.315,0.7466,1.2054,1.5365
1994-08-12,100.225,0.7438,1.2235,1.548
1994-08-13,100.17,0.7409,1.2227,1.5465
1994-08-16,100.175,0.7388,1.224,1.5418
1994-08-17,100.75,0.746,1.2208,1.5365
1994-08-18,100.0,0.7363,1.2232,1.5425
1994-08-19,98.65,0.7421,1.2311,1.5483
1994-08-20,98.675,0.7383,1.2353,1.549
1994-08-22,98.595,0.7382,1.2353,1.5488
1994-08-23,97.8,0.7343,1.2437,1.5561
1994-08-24,97.715,0.7348,1.2409,1.5555
1994-08-25,99.15,0.7436,1.232,1.5535
1994-08-26,99.595,0.7428,1.2337,1.555
1994-08-27,100.45,0.7426,1.2096,1.531
1994-08-29,100.27,0.7433,1.2096,1.5295
1994-08-30,100.0,0.7442,1.2097,1.5321
1994-08-31,99.5,0.7443,1.2096,1.5345
1994-09-01,100.25,0.7429,1.2069,1.5345
1994-09-02,99.7,0.7434,1.213,1.5453
1994-09-03,99.125,0.7425,1.227,1.5475
1994-09-05,99.225,0.7387,1.227,1.5455
1994-09-06,99.075,0.7421,1.2275,1.5463
1994-09-07,99.1,0.7411,1.2336,1.553
1994-09-08,99.35,0.7437,1.2276,1.5445
1994-09-09,99.55,0.7458,1.2243,1.5437
1994-09-10,99.175,0.7453,1.2383,1.5525
1994-09-12,99.075,0.7433,1.2383,1.5532
1994-09-13,99.15,0.7423,1.2352,1.5711
1994-09-14,98.7,0.7436,1.2333,1.5645
1994-09-15,99.435,0.7419,1.2364,1.5643
1994-09-16,99.3,0.7434,1.2298,1.563
1994-09-17,98.95,0.7446,1.2395,1.579
1994-09-22,98.075,0.7355,1.236,1.5775
1994-09-23,98.025,0.7368,1.234,1.5755
1994-09-24,97.825,0.7423,1.2331,1.577
1994-09-26,97.725,0.7417,1.2331,1.5775
1994-09-27,98.575,0.7388,1.2292,1.5727
1994-09-28,97.88,0.7402,1.2386,1.58
1994-09-29,98.825,0.739,1.2309,1.5755
1994-09-30,98.5,0.7406,1.2347,1.579
1994-10-01,99.155,0.7403,1.2324,1.58
1994-10-04,99.55,0.741,1.2313,1.578
1994-10-05,99.45,0.7389,1.2366,1.5815
1994-10-06,99.525,0.7416,1.238,1.584
1994-10-07,99.8,0.7388,1.2376,1.5898
1994-10-08,100.605,0.7384,1.2358,1.5865
1994-10-10,100.575,0.7378,1.2358,1.5854
